"","Genotype","Data","Sample","NMJ","Segment","Boutons","Experiment","IntDen...pMad","CTCF"
"617","OK371>saxA [G85Rcr/G85Rhr]","NMJ","3b","6-7",3,"",1,1778610.606,1420698.421
"618","OK371>saxA [G85Rcr/G85Rhr]","NMJ","4a","6-7",3,"",1,1400538.933,1110089.473
"619","OK371>saxA [G85Rcr/G85Rhr]","NMJ","4b","6-7",3,"",1,577028.614,438103.5564
"620","OK371>saxA [G85Rcr/G85Rhr]","NMJ","5a","6-7",3,"",1,2295389.264,2092387.706
"621","OK371>saxA [G85Rcr/G85Rhr]","NMJ","5b","6-7",3,"",1,2283014.388,2088221.597
"622","OK371>saxA [G85Rcr/G85Rhr]","NMJ","6a","6-7",3,"",1,908810.424,723830.4322
"623","OK371>saxA [G85Rcr/G85Rhr]","NMJ","6b","6-7",3,"",1,966781.769,804907.2738
"624","OK371>gbb [WT-cr/LoxP]","Boutons","1a","4",5,"29",1,NA,NA
"625","OK371>gbb [WT-cr/LoxP]","Boutons","1a","6-7",5,"33",1,NA,NA
"626","OK371>gbb [WT-cr/LoxP]","Boutons","1b","6-7",5,"42",1,NA,NA
"627","OK371>gbb [WT-cr/LoxP]","Boutons","1b","4",5,"27",1,NA,NA
"628","OK371>gbb [WT-cr/LoxP]","Boutons","2a","4",5,"40",1,NA,NA
"629","OK371>gbb [WT-cr/LoxP]","Boutons","2a","6-7",5,"28",1,NA,NA
"630","OK371>gbb [WT-cr/LoxP]","Boutons","2b","6-7",5,"31",1,NA,NA
"631","OK371>gbb [WT-cr/LoxP]","Boutons","2b","4",5,"26",1,NA,NA
"632","OK371>gbb [WT-cr/LoxP]","Boutons","3a","6-7",5,"25",1,NA,NA
"633","OK371>gbb [WT-cr/LoxP]","Boutons","3a","4",5,"31",1,NA,NA
"634","OK371>gbb [WT-cr/LoxP]","Boutons","3b","6-7",5,"x",1,NA,NA
"635","OK371>gbb [WT-cr/LoxP]","Boutons","3b","4",5,"x",1,NA,NA
"636","OK371>gbb [WT-cr/LoxP]","Boutons","4a","4",5,"18",1,NA,NA
"637","OK371>gbb [WT-cr/LoxP]","Boutons","4a","6-7",5,"31",1,NA,NA
"638","OK371>gbb [WT-cr/LoxP]","Boutons","4b","6-7",5,"30",1,NA,NA
"639","OK371>gbb [WT-cr/LoxP]","Boutons","4b","4",5,"17",1,NA,NA
"640","OK371>gbb [G85Rcr/G85Rhr]","Boutons","1a","6-7",5,"28",1,NA,NA
"641","OK371>gbb [G85Rcr/G85Rhr]","Boutons","1a","4",5,"39",1,NA,NA
"642","OK371>gbb [G85Rcr/G85Rhr]","Boutons","1b","6-7",5,"26",1,NA,NA
"643","OK371>gbb [G85Rcr/G85Rhr]","Boutons","1b","4",5,"39",1,NA,NA
"644","OK371>gbb [G85Rcr/G85Rhr]","Boutons","2a","6-7",5,"27",1,NA,NA
"645","OK371>gbb [G85Rcr/G85Rhr]","Boutons","2a","4",5,"28",1,NA,NA
"646","OK371>gbb [G85Rcr/G85Rhr]","Boutons","2b","6-7",5,"28",1,NA,NA
"647","OK371>gbb [G85Rcr/G85Rhr]","Boutons","2b","4",5,"28",1,NA,NA
"648","OK371>gbb [G85Rcr/G85Rhr]","Boutons","3a","6-7",5,"26",1,NA,NA
"649","OK371>gbb [G85Rcr/G85Rhr]","Boutons","3a","4",5,"41",1,NA,NA
"650","OK371>gbb [G85Rcr/G85Rhr]","Boutons","3b","6-7",5,"16",1,NA,NA
"651","OK371>gbb [G85Rcr/G85Rhr]","Boutons","3b","4",5,"31",1,NA,NA
"652","OK371>gbb [G85Rcr/G85Rhr]","Boutons","4a","6-7",5,"25",1,NA,NA
"653","OK371>gbb [G85Rcr/G85Rhr]","Boutons","4a","4",5,"27",1,NA,NA
"654","OK371>gbb [G85Rcr/G85Rhr]","Boutons","4b","6-7",5,"15",1,NA,NA
"655","OK371>gbb [G85Rcr/G85Rhr]","Boutons","4b","4",5,"27",1,NA,NA
"656","OK371>gbb [G85Rcr/G85Rhr]","Boutons","5a","6-7",5,"26",1,NA,NA
"657","OK371>gbb [G85Rcr/G85Rhr]","Boutons","5a","4",5,"35",1,NA,NA
"658","OK371>gbb [G85Rcr/G85Rhr]","Boutons","5b","6-7",5,"30",1,NA,NA
"659","OK371>gbb [G85Rcr/G85Rhr]","Boutons","5b","4",5,"30",1,NA,NA
"660","OK371>gbb [G85Rcr/G85Rhr]","Boutons","6a","6-7",5,"23",1,NA,NA
"661","OK371>gbb [G85Rcr/G85Rhr]","Boutons","6a","4",5,"34",1,NA,NA
"662","OK371>gbb [G85Rcr/G85Rhr]","Boutons","6b","6-7",5,"20",1,NA,NA
"663","OK371>gbb [G85Rcr/G85Rhr]","Boutons","6b","4",5,"26",1,NA,NA
"664","OK371>gbb [G85Rcr/G85Rhr]","Boutons","7a","6-7",5,"33",1,NA,NA
"665","OK371>gbb [G85Rcr/G85Rhr]","Boutons","7a","4",5,"28",1,NA,NA
"666","OK371>saxA [WT-cr/LoxP]","Boutons","1a","6-7",5,"18",1,NA,NA
"667","OK371>saxA [WT-cr/LoxP]","Boutons","1a","4",5,"35",1,NA,NA
"668","OK371>saxA [WT-cr/LoxP]","Boutons","1b","6-7",5,"25",1,NA,NA
"669","OK371>saxA [WT-cr/LoxP]","Boutons","1b","4",5,"24",1,NA,NA
"670","OK371>saxA [WT-cr/LoxP]","Boutons","2a","6-7",5,"47",1,NA,NA
"671","OK371>saxA [WT-cr/LoxP]","Boutons","2a","4",5,"27",1,NA,NA
"672","OK371>saxA [WT-cr/LoxP]","Boutons","2b","6-7",5,"32",1,NA,NA
"673","OK371>saxA [WT-cr/LoxP]","Boutons","2b","4",5,"41",1,NA,NA
"674","OK371>saxA [WT-cr/LoxP]","Boutons","3a","6-7",5,"47",1,NA,NA
"675","OK371>saxA [WT-cr/LoxP]","Boutons","3a","4",5,"48",1,NA,NA
"676","OK371>saxA [WT-cr/LoxP]","Boutons","6a","6-7",5,"25",1,NA,NA
"677","OK371>saxA [WT-cr/LoxP]","Boutons","6a","4",5,"17",1,NA,NA
"678","OK371>saxA [WT-cr/LoxP]","Boutons","6b","6-7",5,"28",1,NA,NA
"679","OK371>saxA [WT-cr/LoxP]","Boutons","6b","4",5,"42",1,NA,NA
"680","OK371>saxA [WT-cr/LoxP]","Boutons","7a","6-7",5,"30",1,NA,NA
"681","OK371>saxA [WT-cr/LoxP]","Boutons","7a","4",5,"35",1,NA,NA
"682","OK371>saxA [WT-cr/LoxP]","Boutons","7b","6-7",5,"18",1,NA,NA
"683","OK371>saxA [WT-cr/LoxP]","Boutons","7b","4",5,"42",1,NA,NA
"684","OK371>saxA [G85Rcr/G85Rhr]","Boutons","1b","6-7",5,"30",1,NA,NA
"685","OK371>saxA [G85Rcr/G85Rhr]","Boutons","1b","4",5,"63",1,NA,NA
"686","OK371>saxA [G85Rcr/G85Rhr]","Boutons","2a","6-7",5,"43",1,NA,NA
"687","OK371>saxA [G85Rcr/G85Rhr]","Boutons","2a","4",5,"45",1,NA,NA
"688","OK371>saxA [G85Rcr/G85Rhr]","Boutons","2b","6-7",5,"30",1,NA,NA
"689","OK371>saxA [G85Rcr/G85Rhr]","Boutons","2b","4",5,"59",1,NA,NA
"690","OK371>saxA [G85Rcr/G85Rhr]","Boutons","3a","6-7",5,"38",1,NA,NA
"691","OK371>saxA [G85Rcr/G85Rhr]","Boutons","3a","4",5,"25",1,NA,NA
"692","OK371>saxA [G85Rcr/G85Rhr]","Boutons","3b","6-7",5,"26",1,NA,NA
"693","OK371>saxA [G85Rcr/G85Rhr]","Boutons","3b","4",5,"29",1,NA,NA
"694","OK371>saxA [G85Rcr/G85Rhr]","Boutons","4a","6-7",5,"26",1,NA,NA
"695","OK371>saxA [G85Rcr/G85Rhr]","Boutons","4a","4",5,"33",1,NA,NA
"696","OK371>saxA [G85Rcr/G85Rhr]","Boutons","4b","6-7",5,"32",1,NA,NA
"697","OK371>saxA [G85Rcr/G85Rhr]","Boutons","4b","4",5,"38",1,NA,NA
